VOCs_Extracted_S1,VOCs_Extracted_S2,VOCs_Extracted_S3,VOCs_Extracted_S4,VOCs_Extracted_S5,VOCs_Extracted_S6,VOCs_Extracted_S7,VOCs_Extracted_S8,Stress_Type,Period
-14043.66186,-12469.16162,951.7025549,951.7025549,-17171.66409,-4809.14903,-12737.15629,-4555.843198,0,0
-13522.26298,-12159.07315,325.9394261,325.9394261,-16681.71282,-4929.242197,-12383.68526,-4659.189028,0,0
-13069.07447,-11868.81264,-14791.66464,-14791.66464,-16149.36584,-5052.631664,-12069.61764,-4768.441426,0,0
-12673.95828,-11603.65564,-14626.60234,-14626.60234,-15602.44478,-5177.164999,-11799.15222,-4875.160015,0,0
-12342.70989,-11362.60765,-14440.33366,-14440.33366,-15047.01226,-5298.028889,-11566.69846,-4955.509902,0,0
-12058.01508,-11147.20165,-14232.85861,-14232.85861,-14495.70231,-5387.610018,-11367.08473,-5018.852521,0,0
-11811.42806,-10952.76673,-14004.17717,-14004.17717,-13969.77532,-5460.847927,-11185.16017,-5065.770615,0,0
-11584.41323,-10775.63224,-13754.28936,-13754.28936,-13478.30163,-5516.515249,-11011.9289,-5099.132037,0,0
-11384.38355,-10608.32026,-13467.70505,-13467.70505,-13035.6041,-5558.697616,-10836.04174,-5121.559111,0,0
-11190.87203,-10438.53022,-13163.84252,-13163.84252,-12643.35804,-5583.729089,-10658.8315,-5130.034465,0,0
-11010.26602,-10264.08727,-12849.36655,-12849.36655,-12306.63708,-5593.977547,-10473.19176,-5127.832942,0,0
-10823.75033,-10084.64632,-12528.25713,-12528.25713,-12017.92529,-5586.709137,-10278.67644,-5109.663094,0,0
-10637.0446,-9896.332927,-12214.21086,-12214.21086,-11772.07585,-5565.326526,-10071.90566,-5078.609875,0,0
-10436.00917,-9702.484424,-11916.75062,-11916.75062,-11549.95462,-5527.682492,-9857.099706,-5034.049337,0,0
-10229.95562,-9502.874802,-11645.21647,-11645.21647,-11341.25804,-5476.25201,-9632.380104,-4980.719763,0,0
-10007.59585,-9296.675172,-11402.97911,-11402.97911,-11139.08222,-5410.300904,-9400.671661,-4917.961652,0,0
-9776.452172,-9085.038067,-11192.91757,-11192.91757,-10943.35147,-5334.876214,-9161.980175,-4852.264216,0,0
-9528.567893,-8867.484836,-11010.36308,-11010.36308,-10743.39186,-5253.113257,-8919.85202,-4786.329133,0,0
-9272.597963,-8648.722964,-10849.55067,-10849.55067,-10540.28284,-5169.364716,-8676.080655,-4722.978127,0,0
-9009.51138,-8427.742903,-10698.64448,-10698.64448,-10327.65623,-5083.074964,-8435.822775,-4661.857276,0,0
-8745.552697,-8210.168658,-10550.23461,-10550.23461,-10110.15282,-4997.21409,-8205.010146,-4603.079178,0,0
-8482.170223,-7994.031133,-10394.7174,-10394.7174,-9884.02577,-4911.359444,-7981.258856,-4542.925517,0,0
-8224.226728,-7784.209652,-10233.3944,-10233.3944,-9653.538152,-4827.339724,-7769.81208,-4481.181733,0,0
-7973.367693,-7582.728486,-10062.30332,-10062.30332,-9416.756186,-4742.796937,-7567.255218,-4417.346625,0,0
-7733.551475,-7391.081488,-9880.416775,-9880.416775,-9177.106213,-4659.513777,-7375.353786,-4351.458588,0,0
-7503.107399,-7204.17108,-9686.509693,-9686.509693,-8938.873383,-4576.56436,-7187.793084,-4282.610072,0,0
-7282.485179,-7024.280226,-9483.256931,-9483.256931,-8701.465023,-4494.950341,-7006.721112,-4211.762963,0,0
-7070.978037,-6846.38525,-9269.220411,-9269.220411,-8470.060497,-4414.347688,-6826.940304,-4139.550679,0,0
-6869.512978,-6674.065245,-9045.571381,-9045.571381,-8242.557124,-4335.708848,-6651.949762,-4066.049974,0,0
-6680.458478,-6501.661779,-8813.718998,-8813.718998,-8023.952694,-4256.143571,-6480.13681,-3991.84977,0,0
-6499.983452,-6333.219056,-8577.198144,-8577.198144,-7811.327105,-4178.027546,-6315.283116,-3917.100006,0,0
-6328.899821,-6163.182292,-8339.076338,-8339.076338,-7606.144234,-4100.256503,-6152.949887,-3842.222441,0,0
-6163.367159,-5995.92195,-8105.450115,-8105.450115,-7407.061972,-4023.608201,-5997.885412,-3767.324481,0,0
-6003.806212,-5830.032081,-7882.551723,-7882.551723,-7214.522068,-3946.101314,-5844.972196,-3692.806644,0,0
-5846.747126,-5667.457548,-7667.960176,-7667.960176,-7027.02401,-3868.451872,-5698.060902,-3618.955697,0,0
-5693.040262,-5506.836657,-7467.115925,-7467.115925,-6847.385196,-3790.912084,-5551.875918,-3546.010791,0,0
-5540.361143,-5350.086149,-7275.716239,-7275.716239,-6669.767905,-3714.049694,-5409.957187,-3474.175982,0,0
-5389.913992,-5196.086021,-7093.37828,-7093.37828,-6498.169457,-3638.20683,-5267.251288,-3404.703504,0,0
-5243.835535,-5046.860527,-6916.680572,-6916.680572,-6326.528001,-3563.993032,-5127.036902,-3335.987031,0,0
-5104.220678,-4901.261925,-6745.094571,-6745.094571,-6158.991977,-3489.409415,-4984.81378,-3269.188305,0,0
-4966.634283,-4760.926729,-6575.819208,-6575.819208,-5989.935686,-3415.653343,-4844.143166,-3202.587542,0,0
-4834.597787,-4625.135476,-6409.572217,-6409.572217,-5823.604458,-3340.639538,-4704.261715,-3137.135781,0,0
-4703.566895,-4495.944536,-6247.145881,-6247.145881,-5658.36232,-3265.583662,-4567.150943,-3071.013545,0,0
-4576.675812,-4374.167156,-6090.387561,-6090.387561,-5496.126987,-3188.388804,-4431.745874,-3005.554485,0,0
-4449.411837,-4257.225561,-5933.840212,-5933.840212,-5335.699077,-3110.356922,-4299.661552,-2939.669391,0,0
-4324.721157,-4145.648517,-5781.577752,-5781.577752,-5179.212022,-3031.733842,-4170.135988,-2873.754278,0,0
-4198.604648,-4036.798193,-5627.977575,-5627.977575,-5025.469292,-2952.996215,-4044.732898,-2808.32168,0,0
-4074.303411,-3931.204487,-5476.288426,-5476.288426,-4876.216824,-2874.340548,-3922.503953,-2744.171712,0,0
-3950.782475,-3826.491219,-5325.110675,-5325.110675,-4730.725972,-2796.287196,-3804.633797,-2679.743584,0,0
-3829.332418,-3723.364078,-5176.045454,-5176.045454,-4591.138461,-2718.883571,-3690.263036,-2616.291553,0,0
-3709.082611,-3620.090346,-5028.045675,-5028.045675,-4456.043323,-2642.629343,-3580.595344,-2551.948827,0,0
-3591.390463,-3517.934702,-4883.087919,-4883.087919,-4326.82462,-2567.581578,-3476.735788,-2487.711189,0,0
-3475.412656,-3418.501057,-4740.365793,-4740.365793,-4204.406118,-2494.192984,-3376.658676,-2421.87206,0,0
-3362.312179,-3323.09978,-4602.134803,-4602.134803,-4086.425501,-2422.212271,-3280.97102,-2355.977481,0,0
-3251.432551,-3228.839331,-4467.218753,-4467.218753,-3973.666941,-2352.011014,-3187.60968,-2288.584975,0,0
-3144.086818,-3137.981804,-4337.131457,-4337.131457,-3863.643467,-2284.526711,-3097.086725,-2220.660648,0,0
-3039.64231,-3047.454784,-4211.094133,-4211.094133,-3756.895114,-2218.097895,-3007.340675,-2152.356382,0,0
-2939.373929,-2959.263126,-4090.632609,-4090.632609,-3651.143968,-2153.681518,-2918.994682,-2084.25191,0,0
-2844.242059,-2870.457465,-3977.027102,-3977.027102,-3547.628675,-2089.644585,-2830.498991,-2016.339964,0,0
-2752.453735,-2782.604424,-3868.168081,-3868.168081,-3444.689874,-2026.636975,-2742.691905,-1949.006761,0,0
-2664.726754,-2693.692304,-3764.879799,-3764.879799,-3342.87235,-1963.141539,-2656.696604,-1882.276567,0,0
-2578.690353,-2606.768926,-3664.797976,-3664.797976,-3243.506343,-1900.084841,-2573.801848,-1816.142624,0,0
-2495.590849,-2520.569274,-3568.301531,-3568.301531,-3147.920134,-1835.775782,-2491.619817,-1751.549178,0,0
-2414.276495,-2435.027712,-3473.059918,-3473.059918,-3053.342492,-1772.268412,-2412.021281,-1689.885262,0,0
-2334.097611,-2349.229021,-3378.292358,-3378.292358,-2962.113412,-1709.522791,-2332.494237,-1630.29395,0,0
-2254.749794,-2263.728221,-3284.002754,-3284.002754,-2871.130214,-1649.313195,-2254.790444,-1572.154071,0,0
-2175.965874,-2177.968723,-3190.759098,-3190.759098,-2781.917452,-1589.543187,-2176.382775,-1515.776216,0,0
-2098.023521,-2092.760399,-3099.367744,-3099.367744,-2692.475065,-1531.107896,-2098.977606,-1459.50025,0,0
-2021.437912,-2007.990626,-3010.644733,-3010.644733,-2605.874405,-1471.865205,-2020.411751,-1403.525169,0,0
-1943.780412,-1924.777761,-2921.790067,-2921.790067,-2518.272852,-1412.50288,-1942.515096,-1346.356232,0,0
-1866.714651,-1844.274767,-2834.900746,-2834.900746,-2430.619545,-1351.219512,-1864.865745,-1288.777762,0,0
-1788.163921,-1768.050313,-2747.063761,-2747.063761,-2341.879054,-1289.200815,-1788.19064,-1229.906669,0,0
-1711.104721,-1696.056808,-2659.965618,-2659.965618,-2252.579621,-1224.907439,-1712.059356,-1171.847517,0,0
-1633.894457,-1626.582229,-2571.285545,-2571.285545,-2162.2877,-1160.971552,-1637.018924,-1115.642694,0,0
-1557.574995,-1560.37907,-2482.977088,-2482.977088,-2071.918394,-1096.655247,-1562.802573,-1060.743969,0,0
-1481.852225,-1495.901582,-2394.656947,-2394.656947,-1981.3675,-1033.516853,-1490.061758,-1007.318001,0,0
-1407.356874,-1433.631446,-2307.586028,-2307.586028,-1892.005025,-970.942089,-1418.466173,-955.906356,0,0
-1333.786007,-1372.114591,-2221.279675,-2221.279675,-1805.284934,-909.4632575,-1348.685189,-905.0762421,0,0
-1261.869304,-1311.745043,-2136.5377,-2136.5377,-1722.80602,-849.060912,-1280.534298,-855.5841554,0,0
-1191.336334,-1252.627223,-2052.998755,-2052.998755,-1643.164835,-790.1730779,-1214.714693,-806.0272259,0,0
-1122.824608,-1195.315202,-1971.372851,-1971.372851,-1566.852069,-732.8560708,-1151.716341,-757.5927433,0,0
-1056.154951,-1139.773748,-1891.104804,-1891.104804,-1494.874265,-677.7029987,-1090.091473,-708.7827197,0,0
-992.5671635,-1085.33738,-1812.814762,-1812.814762,-1425.843759,-624.4302211,-1030.703676,-661.1894943,0,0
-931.3745326,-1029.951421,-1736.453023,-1736.453023,-1360.386856,-574.0078462,-972.3426275,-614.2006083,0,0
-871.8092418,-974.6841923,-1662.51972,-1662.51972,-1296.897592,-525.7172205,-915.2399122,-566.8732563,0,0
-814.3692801,-917.7222801,-1592.069425,-1592.069425,-1235.421902,-478.9190111,-859.4208663,-518.8167898,0,0
-757.6258134,-860.3001317,-1524.186687,-1524.186687,-1176.0248,-433.0809293,-804.7047802,-469.9026857,0,0
-702.0929225,-801.0500193,-1459.381881,-1459.381881,-1119.082015,-386.8384678,-750.8916769,-420.0180533,0,0
-646.5459345,-741.7203743,-1396.230863,-1396.230863,-1063.544045,-340.6518439,-697.7018711,-369.4077622,0,0
-591.6984206,-682.3983372,-1335.191768,-1335.191768,-1007.502209,-293.3223237,-645.0992931,-318.5364577,0,0
